Gene,P_Value,Mean_Cluster1,Mean_Cluster2,Mean_Cluster3,Adjusted_P_Value,Upregulated_In,Downregulated_In
H19,0.005518636,0.145242736,0.563426199,-0.059458656,0.006490968,Cluster2,Cluster3
Hcrtr1,0.021914501,-0.071059469,1.030741794,-0.07073435,0.022093395,Cluster2,Cluster1
Hhatl,0.014496108,-0.075940539,1.0996943,-0.075451796,0.015433357,Cluster2,Cluster1
Hist1h2bc,2.97E-05,0.071612799,1.277164952,-0.105679831,5.13E-05,Cluster2,Cluster3
Id2,6.27E-11,0.258365184,1.546538075,-0.147358113,1.76E-10,Cluster2,Cluster3
Igfbp5,1.37E-18,0.269019684,2.277626688,-0.204425525,5.74E-18,Cluster2,Cluster3
Il17b,0.000417113,-0.140494834,1.675848972,-0.112185057,0.000598994,Cluster2,Cluster1
Insl6,2.10E-06,-0.139307938,2.100207032,-0.144745156,4.18E-06,Cluster2,Cluster3
Kcnn4,2.37E-05,0.009261178,1.479418874,-0.114091409,4.16E-05,Cluster2,Cluster3
Krt18,0.009698254,-0.122357739,1.287415151,-0.084552775,0.0107904,Cluster2,Cluster1
Krt23,0.000109357,-0.120514995,1.736940395,-0.119110031,0.000168821,Cluster2,Cluster1
Krt5,0.019861275,-0.06480894,1.025500715,-0.071039909,0.020440562,Cluster2,Cluster3
Krt8,0.006825762,-0.048822645,1.112319628,-0.079479673,0.007841689,Cluster2,Cluster3
Lbp,2.07E-25,0.630789954,1.734420922,-0.203782524,1.21E-24,Cluster2,Cluster3
Lcn2,0.000442195,-0.102826958,1.559000654,-0.107511291,0.000631342,Cluster2,Cluster3
Lect1,0.012330009,-0.077165086,1.123926256,-0.077165086,0.013475718,Cluster2,Cluster1
Lgals3,0.020915702,0.174458785,0.311160459,-0.043482688,0.021259994,Cluster2,Cluster3
Lgals7,0.002559661,-0.053811224,1.237667362,-0.088494245,0.003225695,Cluster2,Cluster3
Lsr,0.014772501,-0.084718509,1.123215254,-0.076257547,0.015660119,Cluster2,Cluster1
Ltbp2,3.13E-07,0.371703902,0.719403526,-0.096957521,6.85E-07,Cluster2,Cluster3
Ly6e,8.76E-30,0.771644843,1.608598861,-0.210078732,6.56E-29,Cluster2,Cluster3
Matn4,0.008336915,0.000425968,0.942818278,-0.072090709,0.009360082,Cluster2,Cluster3
Mest,0.005934593,-0.083441645,1.231096534,-0.084645197,0.006881899,Cluster2,Cluster3
Mgst1,7.12E-27,0.714703376,1.586959928,-0.201993333,4.40E-26,Cluster2,Cluster3
Mia,4.65E-06,-0.143609958,2.055581793,-0.140849311,8.83E-06,Cluster2,Cluster1
Mmp13,0.001435097,0.284073439,0.299536182,-0.054976176,0.001875498,Cluster2,Cluster3
Muc15,0.018418428,-0.100418743,1.140818135,-0.075829169,0.019276915,Cluster2,Cluster1
Ndp,0.00014932,-0.120482096,1.70977237,-0.117037785,0.000224891,Cluster2,Cluster1
Ndufa4,2.26E-35,0.714326101,2.110669278,-0.241968375,2.07E-34,Cluster2,Cluster3
Nupr1,5.76E-10,0.354585464,1.145135492,-0.127554891,1.57E-09,Cluster2,Cluster3
Otor,0.004782597,-0.088077791,1.269692754,-0.087070726,0.005679333,Cluster2,Cluster1
Perp,3.15E-05,-0.064681612,1.675299929,-0.120706723,5.41E-05,Cluster2,Cluster3
Plekhb1,2.20E-06,-0.147901413,2.122315012,-0.145463778,4.35E-06,Cluster2,Cluster1
Prelp,7.32E-06,0.255090018,0.843205658,-0.093245152,1.34E-05,Cluster2,Cluster3
R3hdml,0.022164031,-0.070560753,1.027732712,-0.070560753,0.022164031,Cluster2,Cluster1
Rbp1,2.64E-38,0.678250893,2.377567662,-0.258287663,2.83E-37,Cluster2,Cluster3
S100a10,1.70E-22,0.800461165,1.020383238,-0.168387024,8.58E-22,Cluster2,Cluster3
S100b,0.000161587,-0.123951038,1.713085485,-0.116899106,0.000241891,Cluster2,Cluster1
Scrg1,8.18E-07,-0.151802144,2.202733041,-0.151168063,1.73E-06,Cluster2,Cluster1
Serinc2,0.007091835,-0.117058402,1.30952947,-0.08684117,0.008109645,Cluster2,Cluster1
Slc38a3,0.000648875,-0.110450918,1.544978902,-0.105578683,0.000895375,Cluster2,Cluster1
Slpi,0.018827331,-0.06571419,1.035301359,-0.071686541,0.019539289,Cluster2,Cluster3
Smoc1,3.64E-07,-0.15660236,2.271428143,-0.155874974,7.82E-07,Cluster2,Cluster1
Sod3,5.49E-13,0.591804017,0.791256981,-0.127309791,1.70E-12,Cluster2,Cluster3
Spint2,2.18E-05,-0.148330235,1.951892059,-0.132392988,3.85E-05,Cluster2,Cluster1
Thrsp,4.14E-05,-0.108076969,1.781534803,-0.123922537,6.91E-05,Cluster2,Cluster3
Tinagl1,5.47E-05,-0.60065553,0.336719322,0.042118749,8.83E-05,Cluster2,Cluster1
Trf,1.43E-05,-0.130107001,1.930878835,-0.132845765,2.57E-05,Cluster2,Cluster3
Trp63,0.008242295,-0.049325368,1.091286753,-0.077815724,0.009296105,Cluster2,Cluster3
Tspan7,0.002357282,-0.241467505,1.801318963,-0.110366913,0.00298589,Cluster2,Cluster1
Ucma,0.005576557,-0.085421365,1.244180745,-0.085421365,0.006528008,Cluster2,Cluster1
Wfdc18,0.022092968,-0.075186326,1.041843826,-0.071116521,0.022164031,Cluster2,Cluster1
Wisp2,0.000404133,0.09589817,0.979906953,-0.085708962,0.000583747,Cluster2,Cluster3
X1500015O10Rik,8.85E-22,0.557568765,1.683682848,-0.191634696,4.20E-21,Cluster2,Cluster3
Acta2,7.35E-09,-0.546509676,-0.434598558,0.094940518,1.84E-08,Cluster3,Cluster1
Actg2,0.013947807,-0.222811611,-0.221373486,0.042083671,0.014978732,Cluster3,Cluster1
Anxa1,0.000116969,-0.25724792,-0.614270227,0.075995497,0.000179449,Cluster3,Cluster2
Arhgdib,5.43E-19,-0.757383285,-0.867941499,0.151872712,2.31E-18,Cluster3,Cluster2
BC028528,4.17E-06,-0.334549475,-0.649782942,0.08744083,7.99E-06,Cluster3,Cluster2
Cav1,5.22E-05,-0.407180253,-0.239136559,0.064266676,8.48E-05,Cluster3,Cluster1
Crip1,4.74E-05,-0.302828348,-0.555633364,0.076663559,7.75E-05,Cluster3,Cluster2
Cyp4b1,4.64E-11,-0.54098226,-0.726349673,0.116609433,1.32E-10,Cluster3,Cluster2
Dmp1,0.010743647,-0.308047245,-0.002274237,0.034969813,0.01184679,Cluster3,Cluster1
Ednrb,0.002337177,-0.282271896,-0.253787892,0.051276963,0.002975684,Cluster3,Cluster1
Emcn,9.34E-06,-0.428677476,-0.311587968,0.072231088,1.68E-05,Cluster3,Cluster1
Ephx3,0.000752695,-0.304241741,-0.304510276,0.057634404,0.001027158,Cluster3,Cluster2
Errfi1,3.34E-11,-0.601881148,-0.563026287,0.111008517,9.59E-11,Cluster3,Cluster1
Fabp4,2.32E-09,-0.538629223,-0.523960349,0.100878677,6.03E-09,Cluster3,Cluster1
Fos,0.00441532,-0.230634571,-0.336495439,0.051764022,0.005268522,Cluster3,Cluster2
H2.M9,4.20E-05,-0.369520193,-0.368329486,0.0698846,6.96E-05,Cluster3,Cluster1
Higd1b,1.10E-27,-0.969969821,-0.886495115,0.177303527,6.97E-27,Cluster3,Cluster1
Id3,0.003793631,-0.249137394,-0.298852751,0.05097769,0.004570863,Cluster3,Cluster2
Ifitm1,6.48E-08,-0.46970864,-0.530607675,0.093601562,1.48E-07,Cluster3,Cluster2
Kcnj8,3.82E-18,-0.777842386,-0.735000242,0.144025404,1.47E-17,Cluster3,Cluster1
Myl9,1.44E-10,-0.635238075,-0.389140032,0.101489419,4.00E-10,Cluster3,Cluster1
Olfr78,0.001665309,-0.284344491,-0.283372056,0.053771661,0.002164902,Cluster3,Cluster1
Rgs16,5.08E-09,-0.531054605,-0.501654881,0.098318667,1.31E-08,Cluster3,Cluster1
Rgs4,1.37E-14,-0.702001354,-0.62991929,0.127429202,4.59E-14,Cluster3,Cluster1
Rgs5,2.46E-35,-1.080380139,-1.026377407,0.200463804,2.17E-34,Cluster3,Cluster1
Rrad,0.002974603,-0.262642949,-0.285770839,0.05150362,0.003673635,Cluster3,Cluster2
Sncg,0.001287094,-0.30574195,-0.246596438,0.053378553,0.001691022,Cluster3,Cluster1
Steap4,2.44E-07,-0.478931176,-0.41883458,0.086102509,5.42E-07,Cluster3,Cluster1
Tagln,0.003680859,-0.240614295,-0.327415335,0.052197471,0.004478681,Cluster3,Cluster2
Tpm1,0.000485933,-0.412514362,-0.026481015,0.048619773,0.00068586,Cluster3,Cluster1
X1810011H11Rik,8.46E-13,-0.651455949,-0.594843839,0.11903957,2.58E-12,Cluster3,Cluster1
